Key,en,es,ar,fr,hi
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.,Oups ! Échec du stockage des informations.,उफ़! जानकारी संग्रहीत करने में विफल.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!,Notification envoyée avec succès !,अधिसूचना सफलतापूर्वक भेजी गई!
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡Configuración básica no encontrada!,أُووبس! لم يتم العثور على الإعداد الأساسي!,Oups ! Paramètre de base introuvable !,उफ़! मूल सेटिंग नहीं मिली!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!,Configuration des notifications push mise à jour avec succès !,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!
Server Information,Server Information,Información del servidor,معلومات الخادم,Informations sur le serveur,सर्वर जानकारी
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut,डिफ़ॉल्ट टेम्पलेट
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,لم يتم العثور على KYC غير صالح أو KYC!,KYC invalide ou KYC introuvable !,अमान्य केवाईसी या केवाईसी नहीं मिला!
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!,Statut KYC mis à jour avec succès !,केवाईसी स्थिति सफलतापूर्वक अपडेट की गई!
Home Banner Section,Home Banner Section,Sección de banner de inicio,قسم لافتة الصفحة الرئيسية,Section Bannière d'accueil,होम बैनर अनुभाग
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Section mise à jour avec succès !,अनुभाग सफलतापूर्वक अपडेट किया गया!
Start Section,Start Section,Sección de inicio,ابدأ القسم,Section de démarrage,प्रारंभ अनुभाग
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!,L'élément de section a été supprimé avec succès !,अनुभाग आइटम सफलतापूर्वक हटा दिया गया!
Our Features Section,Our Features Section,Nuestra sección de características,قسم الميزات لدينا,Notre section fonctionnalités,हमारा फीचर अनुभाग
Item added successfully!,Item added successfully!,¡Artículo agregado exitosamente!,تمت إضافة العنصر بنجاح!,Article ajouté avec succès !,आइटम सफलतापूर्वक जोड़ा गया!
Item delete successfully!,Item delete successfully!,¡El artículo se eliminó correctamente!,تم حذف العنصر بنجاح!,Article supprimé avec succès !,आइटम सफलतापूर्वक हटा दिया गया!
Works Section,Works Section,Sección de Obras,قسم الأشغال,Section Travaux,कार्य अनुभाग
Service Section,Service Section,Sección de Servicio,قسم الخدمة,Section des services,सेवा अनुभाग
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!,Élément de section ajouté avec succès !,अनुभाग आइटम सफलतापूर्वक जोड़ा गया!
Testimonial Section,Testimonial Section,Sección de Testimonios,قسم الشهادات,Section témoignage,प्रशंसापत्र अनुभाग
Setup Blog Category,Setup Blog Category,Configurar categoría de blog,فئة مدونة الإعداد,Catégorie de blog de configuration,सेटअप ब्लॉग श्रेणी
All Ticket,All Ticket,Todos los boletos,جميع التذاكر,Tous les billets,सभी टिकट
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet en attente,लंबित टिकट
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة,Billet actif,सक्रिय टिकट
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة,Billet résolu,हल टिकट
Support Chat,Support Chat,Chat de soporte,دعم الدردشة,Chat d'assistance,समर्थन चैट
Useful Link Edit,Useful Link Edit,Enlace útil Editar,تعديل الرابط المفيد,Lien utile Modifier,उपयोगी लिंक संपादित करें
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Envoyer un e-mail aux utilisateurs non vérifiés,असत्यापित उपयोगकर्ताओं को ईमेल करें
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,المستخدمين الذين لم يتم التحقق من الرسائل النصية القصيرة,Utilisateurs SMS non vérifiés,एसएमएस असत्यापित उपयोगकर्ता
User Details,User Details,Detalles del usuario,تفاصيل المستخدم,Détails de l'utilisateur,उपयोगकर्ता विवरण
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de connexion,लॉगइन लॉग्स
Opps! User doesn,Opps! User doesn,¡Ups! El usuario no,انتبه! المستخدم لا,Oups ! L'utilisateur ne,उफ़! उपयोगकर्ता नहीं करता
